Nom,Endroit,Date,Valeur,Type subvention,Objectif,Observations
Children's Hospital of Eastern Ontario Research Institute Inc.,Ottawa (Ontario) CANADA,08/18/2016,"1608 390,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 443 390,00 $"
Hiiye'yu Lelum (House of Friendship) Society,"Duncan, COLOMBIE-BRITANNIQUE, CANADA",02/06/2014,"316 511,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 148 200,00 $"
LE GOUVERNEMENT DU QUÉBEC,"Québec, QUEBEC, CANADA",03/08/2016,"1160 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 620 000,00 $"
LE GOUVERNEMENT DU QUÉBEC,"Québec, QUEBEC, CANADA",03/08/2016,"800 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 400 000,00 $"
Manitoba,"Winnipeg, MANITOBA, CANADA",03/17/2016,"680 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 360 000,00 $"
Newfoundland and Labrador,"St. John's, NEWFOUNDLAND AND LABRADOR, CANADA",02/01/2016,"540 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 240 000,00 $"
Ontario,"Toronto, ONTARIO, CANADA",03/17/2016,"2590 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 240 000,00 $"
Organization for Economic Co-Operation and Development,"France, FRANCE",09/28/2016,"35 000,00 $",Subvention,,
Organization for Economic Co-Operation and Development,"France, FRANCE",09/02/2016,"200 000,00 $",Subvention,,
PARTICIPACTION,"Toronto, ONTARIO, CANADA",08/16/2016,"4159 500,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 3 734 500,00 $"
Public Inc.,"Toronto, ONTARIO, CANADA",06/20/2016,"1164 360,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
Saskatchewan,"Regina, SASKATCHEWAN, CANADA",03/01/2016,"810 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 360 000,00 $"
Stanton Territorial Health Authority,Yellowknife (Territoires du Nord-Ouest) CANADA,02/02/2016,"90 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 40 000,00 $"
Aboriginal Head Start Association of British Columbia,"Cobble Hill, COLOMBIE-BRITANNIQUE, CANADA",06/23/2016,"1200 494,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 116 865,00 $"
ALBERTA HEALTH SERVICES,"Edmonton, ALBERTA, CANADA",03/11/2016,"200 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
ALBERTA HEALTH SERVICES,"Edmonton, ALBERTA, CANADA",03/29/2016,"739 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
Blood Ties Four Directions Centre Society,"Whitehorse, YUKON, CANADA",03/04/2015,"498 864,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 332 576,00 $"
BOYS AND GIRLS CLUBS OF CANADA/LES REPAIRES,"Toronto, ONTARIO, CANADA",04/22/2016,"1797 664,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
Brock University,"St. Catharines, ONTARIO, CANADA",05/02/2016,"415 206,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
Canadian Primary Care Sentinal Surveillance Network,"Kingston, ONTARIO, CANADA",03/03/2016,"997 163,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
Cancer Care Ontario,"Toronto, ONTARIO, CANADA",02/26/2016,"536 614,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
Care 'N' Share Inc.,"Chipman, NOUVEAU-BRUNSWICK, CANADA",04/07/2016,"411 315,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 379 315,00 $"
Care 'N' Share Inc.,"Chipman, NOUVEAU-BRUNSWICK, CANADA",01/29/2016,"379 315,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 360 000,00 $"
Centre de bénévolat de la péninsule acadienne inc.,"Caraquet, NOUVEAU-BRUNSWICK, CANADA",05/03/2016,"662 234,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 609 315,00 $"
Centre de ressources familiales du comté de Kent Inc.,"Richibucto, NOUVEAU-BRUNSWICK, CANADA",04/06/2016,"484 940,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 439 315,00 $"
Centre de ressources pour parents- Restigouche,"Campbellton, NOUVEAU-BRUNSWICK, CANADA",04/29/2016,"574 815,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 529 315,00 $"
Centre for Addiction and Mental Health,"Toronto, Ontario, Canada",03/29/2016,"536 649,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 349 016,00 $"
Chaleur Resource Centre for Parents,"Bathurst, NOUVEAU-BRUNSWICK, CANADA",05/04/2016,"488 805,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 439 315,00 $"
COMMUNITY FOOD CENTRES CANADA,"Toronto, ONTARIO, CANADA",05/31/2016,"1205 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
Family Resource Centre of Charlotte Co. Inc.,"St. Stephen, NOUVEAU-BRUNSWICK, CANADA",04/13/2016,"582 465,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 529 315,00 $"
Fredericton Regional Family Resource Centre,"Fredericton, NOUVEAU-BRUNSWICK, CANADA",05/03/2016,"533 479,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 439 315,00 $"
Gjoa Haven District Education Authority,"Gjoa Haven, NUNAVUT, CANADA",01/26/2016,"600 917,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 543 527,00 $"
Interagency Coalition on AIDS and Development,"Ottawa, ONTARIO, CANADA",07/12/2016,"1368 622,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 201 122,00 $"
A Family Place/ Le Cercle Familial Inc.,"Miramichi, NOUVEAU-BRUNSWICK, CANADA",01/29/2016,"529 315,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 510 000,00 $"
Aboriginal Head Start Association of British Columbia,"Cobble Hill, COLOMBIE-BRITANNIQUE, CANADA",01/07/2016,"1116 865,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 448 800,00 $"
Aboriginal Health & Wellness Centre of Winnipeg Inc.,"Winnipeg, MANITOBA, CANADA",02/12/2016,"1947 817,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 901 517,00 $"
Aboriginal Women's Association of Prince Edward Island,"Charlottetown, ÎLE-DU-PRINCE-ÉDOUARD, CANADA",03/25/2015,"675 888,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 666 688,00 $"
Aboriginal Women's Association of Prince Edward Island,"Charlottetown, ÎLE-DU-PRINCE-ÉDOUARD, CANADA",11/14/2014,"666 688,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 661 221,00 $"
Aboriginal Women's Association of Prince Edward Island,"Charlottetown, ÎLE-DU-PRINCE-ÉDOUARD, CANADA",01/07/2016,"746 518,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 675 888,00 $"
AFS Aboriginal Family Service Centre Inc.,"Regina, SASKATCHEWAN, CANADA",01/13/2016,"1855 981,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 567 176,00 $"
Aisling Discoveries Child & Family Centre,"Scarborough, ONTARIO, CANADA",01/08/2016,"2894 040,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 544 040,00 $"
Alberta Parenting for the Future Association,"Edmonton, ALBERTA, CANADA",01/15/2016,"1036 560,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 996 560,00 $"
Alliance Wellness and Rehabilitation Inc.,Moose Jaw (Saskatchewan) CANADA,01/16/2016,"714 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 357 000,00 $"
AMISKWACIY CULTURAL SOCIETY,"SHERWOOD PARK, ALBERTA, CANADA",12/22/2015,"2964 043,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 622 043,00 $"
Association of Neighbourhood Houses of British Columbia,"Vancouver, COLOMBIE-BRITANNIQUE, CANADA",12/30/2015,"2105 071,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 042 841,00 $"
Baycrest Centre for Geriatric Care,Toronto (Ontario) CANADA,01/15/2016,"42000 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
Border City Metis Society Inc.,"Lloydminster, SASKATCHEWAN, CANADA",01/08/2016,"894 884,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 870 804,00 $"
Brandon Friendship Centre,"Brandon, MANITOBA, CANADA",11/16/2015,"2260 900,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 221 927,00 $"
Brandon Friendship Centre,"Brandon, MANITOBA, CANADA",02/02/2016,"2300 900,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 260 900,00 $"
Buffalo Narrows Friendship Centre Inc.,"Buffalo Narrows, SASKATCHEWAN, CANADA",01/19/2016,"787 284,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 783 530,00 $"
B.C. Aboriginal Child Care Society,"West Vancouver, COLOMBIE-BRITANNIQUE, CANADA",01/29/2016,"2096 802,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 058 361,00 $"
Canadian AIDS Treatment Information Exchange,"Toronto, ONTARIO, CANADA",03/07/2014,"19315 750,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 7 500 000,00 $"
Canadian Association for HIV Research,Ottawa (Ontario) CANADA,02/05/2014,"1099 928,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 411 800,00 $"
ABORIGINAL PEOPLES' ALLIANCE OF NORTHERN ONTARIO,"Cochrane, ONTARIO, CANADA",12/03/2015,"2266 064,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 245 526,00 $"
ABORIGINAL PEOPLES' ALLIANCE OF NORTHERN ONTARIO,"Cochrane, ONTARIO, CANADA",12/03/2015,"2266 064,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 245 526,00 $"
ABORIGINAL PEOPLES' ALLIANCE OF NORTHERN ONTARIO,"Cochrane, ONTARIO, CANADA",12/03/2015,"2266 064,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 245 526,00 $"
AMISKWACIY CULTURAL SOCIETY,"SHERWOOD PARK, ALBERTA, CANADA",10/15/2015,"2622 043,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 441 056,00 $"
Association of Neighbourhood Houses of British Columbia,"Vancouver, COLOMBIE-BRITANNIQUE, CANADA",11/17/2015,"2042 841,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 989 189,00 $"
Beauval Aboriginal Headstart Inc.,"Beauval, SASKATCHEWAN, CANADA",11/06/2015,"988 335,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 910 348,00 $"
Border City Metis Society Inc.,"Lloydminster, SASKATCHEWAN, CANADA",11/06/2015,"870 804,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 774 430,00 $"
Brandon Friendship Centre,"Brandon, MANITOBA, CANADA",11/16/2015,"2260 900,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 221 927,00 $"
Canadian Autism Spectrum Disorders Alliance,Ottawa (Ontario) CANADA,09/25/2015,"1800 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,Déclaration tardive
Canadian Breast Cancer Foundation,"Toronto, ONTARIO, CANADA",09/25/2015,"600 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 500 000,00 $"
Canadian Men's Health Foundation,Vancouver (British Columbia) CANADA,10/06/2015,"519 400,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
CANADIAN MOTHERCRAFT SOCIETY,Toronto (Ontario) CANADA,10/13/2015,"2292 635,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
CANADIAN MOTHERCRAFT SOCIETY,"Toronto, ONTARIO, CANADA",09/28/2015,"1689 718,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 469 718,00 $"
Centre d'amitié autochtone de Val d'Or inc.,"Val d'Or, QUÉBEC, CANADA",10/28/2015,"1275 734,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 245 303,00 $"
Cible Famille Brandon Inc.,"St-Gabriel-de-Brandon, QUÉBEC, CANADA",11/06/2015,"210 474,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 156 822,00 $"
College of New Caledonia - Lakes District Campus,"Burns Lake, COLOMBIE-BRITANNIQUE, CANADA",11/12/2015,"470 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 270 000,00 $"
Covenant House Toronto,Toronto (Ontario) CANADA,09/21/2015,"1260 526,00 $",Contribution,Promotion de la santé et lutte contre la maladie,Déclaration tardive
Dauphin Friendship Centre Inc.,"Dauphin, MANITOBA, CANADA",12/10/2015,"1075 150,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 946 464,00 $"
Dawson Shelter Society,"Dawson City, YUKON, CANADA",11/17/2015,"393 972,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 378 320,00 $"
Dispensaire Diététique de Montréal,"Montréal, QUÉBEC, CANADA",11/11/2015,"891 185,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 826 185,00 $"
Aboriginal Head Start Association of British Columbia,"Cobble Hill, COLOMBIE-BRITANNIQUE, CANADA",07/20/2015,"448 800,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 428 800,00 $"
Alliance Wellness and Rehabilitation Inc.,Moose Jaw (Saskatchewan) CANADA,06/01/2015,"357 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,Déclaration tardive
Alzheimer Society of Canada,"Toronto, ONTARIO, CANADA",05/28/2015,"2082 202,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 238 594,00 $"
Board of Health for the Elgin - St. Thomas Health Unit,St. Thomas (Ontario) CANADA,08/19/2015,"965 450,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
CANADIAN CANCER SOCIETY- ONTARIO DIVISION,Toronto (Ontario) CANADA,07/23/2015,"4997 757,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
Canadian Mental Health Association Nova Scotia Division,Dartmough (Nouvelle-Écosse) Canada,06/30/2015,"3311 426,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 912 308,00 $"
Children's Hospital of Eastern Ontario Research Institute Inc.,Ottawa (Ontario) CANADA,07/31/2015,"293 390,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
Children's Hospital of Eastern Ontario Research Institute Inc.,Ottawa (Ontario) CANADA,06/25/2015,"1497 790,00 $",Contribution,Promotion de la santé et lutte contre la maladie,Déclaration tardive
Earlscourt-Creche Child Development Institute,Toronto (Ontario) CANADA,08/11/2015,"1523 173,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
High Level Native Friendship Centre Society,"High Level, ALBERTA, CANADA",09/22/2015,"1056 694,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 979 508,00 $"
Hinton Friendship Centre Society,"Hinton, ALBERTA, CANADA",09/22/2015,"919 066,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 839 166,00 $"
International Centre for Infectious Diseases,Winnipeg (Manitoba) Canada,07/02/2015,"3391 887,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 3 200 887,00 $"
"La Société canadian du cancer, Division du Quebec","Montréal, QUÉBEC, CANADA",08/20/2015,"1000 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
Lady Davis Institute for Medical Research,Montréal (Québec) Canada,07/28/2015,"3838 534,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 638 534,00 $"
Manitoba,Winnipeg (Manitoba) CANADA,07/28/2015,"25 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,Déclaration tardive
Nunavut Arctic College,Iqaluit (Nunavut) Canada,09/16/2015,"1460 217,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 182 717,00 $"
Public Inc.,Toronto (Ontario) CANADA,07/31/2015,"2592 500,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
The Hincks-Dellcrest Centre,Toronto (Ontario) Canada,06/29/2015,"3478 971,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 428 971,00 $"
University of Manitoba,Winnipeg (Manitoba) CANADA,07/29/2015,"4868 330,00 $",Contribution,L'infrastructure de la santé publique,
World Health Organization (the),"Genève 27, SUISSE",07/09/2015,"100 000,00 $",Subvention,Promotion de la santé et lutte contre la maladie,
ABORIGINAL PEOPLES' ALLIANCE OF NORTHERN ONTARIO,"Cochrane, ONTARIO, CANADA",06/01/2015,"2245 526,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 144 100,00 $"
Association of High Prairie and District Childrens' Resource Council,"High Prairie, ALBERTA, CANADA",03/30/2015,"727 116,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 677 658,00 $"
Atikokan Native Friendship Centre,"Atikokan, ONTARIO, CANADA",02/27/2015,"610 500,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 203 500,00 $"
Barrie Native Friendship Centre,"Barrie, ONTARIO, CANADA",03/23/2015,"322 890,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 107 630,00 $"
British Columbia Centre for Disease Control and Prevention Society Branch,Vancouver (Colombie Britannique) CANADA,03/25/2015,"4868 330,00 $",Contribution,L'infrastructure de la santé publique,
Canadian AIDS Society,"Ottawa, ONTARIO, CANADA",04/27/2015,"2919 608,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 886 128,00 $"
Centre régional de la santé et de services sociaux de la Baie-James,Chibougamau (Québec) CANADA,10/30/2014,"29 418,00 $",Contribution,Promotion de la santé et lutte contre la maladie,Déclaration Tardive
Community-Based Research Centre Society,"Vancouver, COLOMBIE-BRITANNIQUE, CANADA",06/05/2015,"900 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 450 000,00 $"
Council of Yukon First Nations,Whitehorse (Yukon) CANADA,03/06/2015,"791 367,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 521 739,00 $"
Cultural Communications Group Inc. Niagara Regional Native Centre,"Niagara-on-the-Lake, ONTARIO, CANADA",03/07/2015,"495 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 165 000,00 $"
Fort Erie Native Friendship Centre,"Fort Erie, ONTARIO, CANADA",03/17/2015,"543 060,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 181 020,00 $"
FOXY,YellowKnife (Territoires du Nord-Ouest) CANADA,03/20/2015,"490 252,00 $",Contribution,Promotion de la santé et lutte contre la maladie,
Hamilton Regional Indian Centre,"Hamilton, ONTARIO, CANADA",03/23/2015,"607 710,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 202 570,00 $"
Indian Friendship Centre of Sault Ste. Marie,"Sault Ste. Marie, ONTARIO, CANADA",03/25/2015,"1009 650,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 336 550,00 $"
INDIAN YOUTH FRIENDSHIP SOCIETY,"Thunder Bay, ONTARIO, CANADA",02/23/2015,"402 600,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 134 200,00 $"
Ininew Friendship Centre,"Cochrane, ONTARIO, CANADA",03/17/2015,"582 000,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 194 000,00 $"
Institut national de santé publique du Québec,Québec (Québec) CANADA,05/19/2015,"4868 330,00 $",Contribution,L'infrastructure de la santé publique,
KATIVIK REGIONAL GOVERNMENT,"Kuujjuaq, QUÉBEC, CANADA",03/31/2015,"2385 158,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 203 821,00 $"
London Health Sciences Centre Researach,London (Ontario) CANADA,06/14/2013,"1146 840,00 $",Contribution,Promotion de la santé et lutte contre la maladie,Déclaration Tardive
M' Wikwedong Native Cultural Resource Centre,"Owen Sound, ONTARIO, CANADA",02/17/2015,"649 110,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 216 370,00 $"
Aboriginal Head Start Association of British Columbia,"Cobble Hill, COLOMBIE-BRITANNIQUE, CANADA",02/01/2015,"408 800,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 383 800,00 $"
ABORIGINAL PEOPLES' ALLIANCE OF NORTHERN ONTARIO,"Cochrane, ONTARIO, CANADA",03/16/2015,"2144 100,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 090 676,00 $"
AFS Aboriginal Family Service Centre Inc.,"Regina, SASKATCHEWAN, CANADA",03/02/2015,"1567 176,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 1 563 676,00 $"
AIDS Programs South Saskatchewan Inc.,"Regina, SASKATCHEWAN, CANADA",02/17/2015,"474 340,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 345 000,00 $"
Aisling Discoveries Child & Family Centre,"Scarborough, ONTARIO, CANADA",01/22/2015,"2544 040,00 $",Contribution,Promotion de la santé et lutte contre la maladie,"Modification à l'octroi précédent de 2 474 040,00 $"
